step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
71,17.75,510.38266,0,,38.18407,41.635216,32.677753,36.890514,44.95982,43.774487
72,18.0,510.39935,0,,38.209774,41.677284,32.81805,37.024464,45.06194,43.834587
73,18.25,510.99783,0,,38.16834,41.63734,32.77829,36.98471,45.02217,43.802742
74,18.5,511.59286,0,,38.127098,41.597466,32.738605,36.94504,44.982475,43.770138
75,18.75,512.1845,0,,38.08606,41.557667,32.699013,36.90547,44.94286,43.736874
76,19.0,512.7115,0,,38.046463,41.512966,32.65722,36.864017,44.90075,43.709873
77,19.25,513.2949,0,,38.005913,41.473286,32.617798,36.82464,44.86129,43.675625
78,19.5,513.8751,0,,37.965557,41.4337,32.57848,36.785374,44.821938,43.640896
79,19.75,830.23,0,,38.879486,41.824413,33.188164,37.43524,45.395744,43.992607
80,20.0,830.6821,0,,38.79551,41.732903,32.836575,37.095814,45.12702,43.8942
81,20.25,830.3451,0,,38.84348,41.762337,32.870197,37.130417,45.15969,43.91539
82,20.5,830.0075,0,,38.891636,41.792896,32.904724,37.165874,45.19334,43.938522
83,20.75,829.66956,0,,38.939934,41.8245,32.9401,37.20212,45.227898,43.963387
84,21.0,829.6677,0,,38.92125,41.790073,32.776382,37.047382,45.121876,43.88893
85,21.25,829.3848,0,,38.96099,41.80573,32.797436,37.06971,45.141247,43.897903
86,21.5,829.0996,0,,39.001183,41.823437,32.820164,37.093616,45.16243,43.909344
87,21.75,828.8126,0,,39.04172,41.842964,32.844364,37.118923,45.185207,43.92299
88,22.0,830.1083,0,,35.203373,41.65245,32.27288,36.57299,44.811226,43.635605
89,22.25,829.9722,0,,35.22428,41.632866,32.26156,36.563576,44.796715,43.60884
90,22.5,829.83716,0,,35.24483,41.614384,32.251064,36.55493,44.783142,43.5837
91,22.75,829.7032,0,,35.265022,41.596992,32.24136,36.547024,44.7705,43.5601
92,23.0,830.92676,0,,34.84311,41.168575,31.140741,35.52523,44.043262,43.035145
93,23.25,830.8945,0,,34.846016,41.12849,31.11165,35.49812,44.010197,42.984116
94,23.5,830.86505,0,,34.848404,41.089355,31.083107,35.47151,43.97778,42.934643
95,23.75,830.83826,0,,34.85028,41.05116,31.055088,35.445385,43.946,42.886696
96,0.0,824.0165,0,,29.519453,41.418526,32.053497,36.402863,44.6136,43.338627
97,0.25,823.73267,0,,29.563107,41.439056,32.077877,36.42824,44.63648,43.35043
98,0.5,823.44885,0,,29.606625,41.46051,32.10301,36.454323,44.66019,43.363827
99,0.75,823.16516,0,,29.650003,41.482834,32.12883,36.481052,44.684666,43.37862
100,1.0,818.97974,0,,29.691801,42.200527,40.09277,41.226494,47.486942,43.843166
101,1.25,818.51697,0,,29.761442,42.26496,40.14523,41.286907,47.548912,43.891098
102,1.5,818.0555,0,,29.830833,42.329296,40.197567,41.347176,47.610775,43.93972
103,1.75,817.5945,0,,29.90007,42.39377,40.249947,41.40745,47.672737,43.98951
104,2.0,813.7354,0,,30.755405,43.06424,41.63628,42.49574,48.657658,44.73808
105,2.25,813.1158,0,,30.846846,43.16101,41.70999,42.580147,48.748184,44.83
106,2.5,812.4974,0,,30.938063,43.257397,41.78325,42.66415,48.83785,44.921803
107,2.75,811.8805,0,,31.029043,43.353397,41.85629,42.747906,48.927216,45.013443
108,3.0,484.0799,0,,29.874222,42.405518,40.72589,41.36639,47.674313,44.072174
109,3.25,484.383,0,,29.85559,42.419476,40.720036,41.357456,47.672966,44.083775
110,3.5,484.67847,0,,29.837523,42.432632,40.7142,41.34862,47.67142,44.09477
111,3.75,484.96646,0,,29.819998,42.44495,40.708355,41.339878,47.66964,44.105125
112,4.0,483.45114,0,,30.460545,42.83076,42.286156,42.469303,48.4808,44.70154
113,4.25,483.2198,0,,30.476088,42.873737,42.30577,42.49099,48.50924,44.749043
114,4.5,482.9769,0,,30.49232,42.916275,42.325623,42.513004,48.537796,44.796043
115,4.75,482.72342,0,,30.50918,42.95836,42.345673,42.53529,48.56643,44.842525
116,5.0,486.6574,0,,36.21328,42.8314,41.9019,42.178852,48.308983,44.64828
117,5.25,486.86908,0,,36.20092,42.850815,41.90066,42.176067,48.31243,44.671345
118,5.5,487.07294,0,,36.18911,42.869354,41.899426,42.173363,48.315674,44.693527
119,5.75,487.26917,0,,36.17785,42.88697,41.898193,42.170727,48.318695,44.71481
120,6.0,483.14545,0,,36.307575,43.014774,42.1535,42.397762,48.50587,44.867554
121,6.25,482.81363,0,,36.32961,43.051495,42.17457,42.42152,48.534237,44.907726
122,6.5,482.47903,0,,36.351803,43.08768,42.19557,42.445225,48.562412,44.947304
123,6.75,482.14197,0,,36.37414,43.12333,42.21649,42.46887,48.590397,44.986282
124,7.0,482.26575,0,,39.83657,43.03873,41.726875,42.121914,48.365463,44.826073
125,7.25,481.99484,0,,39.854645,43.059093,41.741497,42.13863,48.383904,44.848286
126,7.5,481.7245,0,,39.87261,43.07936,41.75607,42.155293,48.402264,44.87031
127,7.75,481.45493,0,,39.890503,43.099506,41.770573,42.171886,48.420536,44.892155
128,8.0,480.6418,0,,39.966583,43.171936,42.050034,42.386093,48.573505,44.974552
129,8.25,480.29507,0,,39.989758,43.200603,42.069324,42.408085,48.598297,45.00532
130,8.5,479.94888,0,,40.012863,43.228947,42.088505,42.429943,48.6229,45.03571
131,8.75,479.60327,0,,40.035904,43.25698,42.107567,42.45169,48.647327,45.065727
132,9.0,486.15756,0,,39.832016,43.18926,41.6814,42.08931,48.393375,44.959694
133,9.25,486.5017,0,,39.81045,43.180576,41.667747,42.072926,48.378815,44.95421
134,9.5,486.8432,0,,39.78896,43.170742,41.65386,42.056343,48.36375,44.947613
135,9.75,487.1817,0,,39.767582,43.159966,41.63979,42.03961,48.34829,44.940075
136,10.0,487.3046,0,,39.760815,43.15615,41.675697,42.06118,48.359,44.97678
137,10.25,487.61072,0,,39.741627,43.147682,41.66336,42.046444,48.345665,44.971455
138,10.5,487.91357,0,,39.722576,43.138355,41.65089,42.031605,48.33199,44.965267
139,10.75,488.21295,0,,39.703674,43.128315,41.63832,42.0167,48.31805,44.958332
